suite,case,config,status,note,rust_status
compiler,arrayLiteralComments.ts,,go-pass,,
compiler,arrayLiteralContextualType.ts,,go-pass,,
compiler,arrayLiteralInNonVarArgParameter.ts,,go-pass,,
compiler,arrayLiteralTypeInference.ts,,go-diff,,
compiler,arrayOfExportedClass.ts,,go-diff,,
compiler,arrayOfSubtypeIsAssignableToReadonlyArray.ts,,go-diff,,
compiler,arrayReferenceWithoutTypeArgs.ts,,go-diff,,
compiler,arraySigChecking.ts,,go-diff,,
compiler,arraySlice.ts,,go-diff,,
compiler,arrayToLocaleStringES2015.ts,,go-pass,,
compiler,arrayToLocaleStringES2020.ts,,go-pass,,
compiler,arrayToLocaleStringES5.ts,target=es5,go-pass,,
compiler,arrayToLocaleStringES5.ts,target=es2015,go-pass,,
compiler,arrayTypeInSignatureOfInterfaceAndClass.ts,,go-pass,,
compiler,arrayconcat.ts,,go-diff,,
compiler,arrowExpressionBodyJSDoc.ts,,go-diff,,
compiler,arrowExpressionJs.ts,,go-pass,,
compiler,arrowFunctionErrorSpan.ts,,go-diff,,
compiler,arrowFunctionInConstructorArgument1.ts,,go-diff,,
compiler,arrowFunctionInExpressionStatement1.ts,,go-pass,,
compiler,arrowFunctionInExpressionStatement2.ts,,go-pass,,
compiler,arrowFunctionJSDocAnnotation.ts,,go-pass,,
compiler,arrowFunctionMissingCurlyWithSemicolon.ts,,go-diff,,
compiler,arrowFunctionParsingDoesNotConfuseParenthesizedObjectForArrowHead.ts,,go-pass,,
compiler,arrowFunctionParsingGenericInObject.ts,,go-pass,,
compiler,arrowFunctionWithObjectLiteralBody1.ts,,go-diff,,
compiler,arrowFunctionWithObjectLiteralBody2.ts,,go-diff,,
compiler,arrowFunctionWithObjectLiteralBody3.ts,,go-pass,,
compiler,arrowFunctionWithObjectLiteralBody4.ts,,go-pass,,
compiler,arrowFunctionWithObjectLiteralBody5.ts,,go-pass,,
compiler,arrowFunctionWithObjectLiteralBody6.ts,,go-pass,,
compiler,arrowFunctionsMissingTokens.ts,,go-diff,,
compiler,asiAbstract.ts,,go-diff,,
compiler,asiAmbientFunctionDeclaration.ts,,go-diff,,
compiler,asiArith.ts,,go-pass,,
compiler,asiBreak.ts,,go-pass,,
compiler,asiContinue.ts,,go-pass,,
compiler,asiInES6Classes.ts,,go-pass,,
