suite,case,config,go_status,rust_status
compiler,augmentedTypesVar.ts,[],go-diff,rust-pass
compiler,autoAsiForStaticsInClassDeclaration.ts,[],go-diff,rust-pass
compiler,autoLift2.ts,[],go-diff,rust-pass
compiler,autolift3.ts,[],go-diff,rust-pass
compiler,autolift4.ts,[],go-diff,rust-pass
compiler,awaitUnionPromise.ts,[],go-diff,rust-pass
compiler,awaitedTypeCrash.ts,[],go-pass,rust-diff
compiler,awaitedTypeNoLib.ts,[],go-pass,rust-diff
compiler,badExternalModuleReference.ts,[],go-diff,rust-pass
compiler,badInferenceLowerPriorityThanGoodInference.ts,[],go-pass,rust-diff
compiler,baseCheck.ts,[],go-diff,rust-pass
compiler,baseIndexSignatureResolution.ts,[],go-diff,rust-pass
compiler,baseTypeOrderChecking.ts,[],go-diff,rust-pass
compiler,bestChoiceType.ts,[],go-pass,rust-diff
compiler,bestCommonTypeWithContextualTyping.ts,[],go-diff,rust-pass
compiler,bestCommonTypeWithOptionalProperties.ts,[],go-diff,rust-pass
compiler,betterErrorForAccidentalCall.ts,[],go-diff,rust-pass
compiler,binaryArithmatic1.ts,[],go-diff,rust-pass
compiler,binaryArithmatic2.ts,[],go-diff,rust-pass
compiler,binaryArithmatic3.ts,[],go-diff,rust-pass
compiler,binaryArithmatic4.ts,[],go-diff,rust-pass
compiler,bind1.ts,[],go-diff,rust-pass
compiler,blockScopedEnumVariablesUseBeforeDef.ts,['target=es2015'],go-diff,rust-pass
compiler,blockScopedEnumVariablesUseBeforeDef_isolatedModules.ts,['target=es2015'],go-diff,rust-pass
compiler,blockScopedEnumVariablesUseBeforeDef_preserve.ts,['target=es2015'],go-diff,rust-pass
compiler,blockScopedFunctionDeclarationES5.ts,['target=es2015'],go-diff,rust-pass
compiler,blockScopedFunctionDeclarationES6.ts,[],go-diff,rust-pass
compiler,blockScopedFunctionDeclarationInStrictClass.ts,['target=es2015'],go-diff,rust-pass
compiler,blockScopedFunctionDeclarationInStrictModule.ts,[],go-diff,rust-pass
compiler,blockScopedFunctionDeclarationStrictES5.ts,['target=es2015'],go-diff,rust-pass
compiler,blockScopedFunctionDeclarationStrictES6.ts,[],go-diff,rust-pass
compiler,blockScopedSameNameFunctionDeclarationES5.ts,['target=es2015'],go-diff,rust-pass
compiler,blockScopedSameNameFunctionDeclarationES6.ts,[],go-diff,rust-pass
compiler,blockScopedSameNameFunctionDeclarationStrictES5.ts,['target=es2015'],go-diff,rust-pass
compiler,blockScopedSameNameFunctionDeclarationStrictES6.ts,[],go-diff,rust-pass
compiler,blockScopedVariablesUseBeforeDef.ts,['target=es2015'],go-diff,rust-pass
compiler,breakInIterationOrSwitchStatement4.ts,[],go-diff,rust-pass
compiler,breakNotInIterationOrSwitchStatement1.ts,[],go-diff,rust-pass
compiler,breakNotInIterationOrSwitchStatement2.ts,[],go-diff,rust-pass
compiler,breakTarget6.ts,[],go-diff,rust-pass
compiler,cachedContextualTypes.ts,[],go-pass,rust-diff
compiler,cachedModuleResolution6.ts,[],go-diff,rust-pass
compiler,cachedModuleResolution7.ts,[],go-diff,rust-pass
compiler,callConstructAssignment.ts,[],go-diff,rust-pass
compiler,callOfConditionalTypeWithConcreteBranches.ts,[],go-pass,rust-diff
compiler,callOnClass.ts,[],go-diff,rust-pass
compiler,callOverloadViaElementAccessExpression.ts,[],go-diff,rust-pass
compiler,callSignaturesShouldBeResolvedBeforeSpecialization.ts,[],go-diff,rust-pass
compiler,callWithWrongNumberOfTypeArguments.ts,[],go-diff,rust-pass
compiler,callbackArgsDifferByOptionality.ts,[],go-diff,rust-pass
compiler,callbacksDontShareTypes.ts,[],go-diff,rust-pass
compiler,cannotInvokeNewOnIndexExpression.ts,[],go-diff,rust-pass
compiler,capturedLetConstInLoop14.ts,['target=es2015'],skip-config,rust-pass
compiler,capturedLetConstInLoop5.ts,[],go-diff,rust-pass
compiler,capturedLetConstInLoop5_ES6.ts,[],go-diff,rust-pass
compiler,capturedLetConstInLoop6.ts,[],go-diff,rust-pass
compiler,capturedLetConstInLoop6_ES6.ts,[],go-diff,rust-pass
compiler,capturedLetConstInLoop7.ts,[],go-diff,rust-pass
compiler,capturedLetConstInLoop7_ES6.ts,[],go-diff,rust-pass
compiler,capturedLetConstInLoop8.ts,[],go-diff,rust-pass
compiler,capturedLetConstInLoop8_ES6.ts,[],go-diff,rust-pass
compiler,castOfAwait.ts,[],go-diff,rust-pass
compiler,chainedAssignment1.ts,[],go-diff,rust-pass
compiler,chainedAssignment2.ts,[],go-diff,rust-pass
compiler,chainedAssignment3.ts,[],go-diff,rust-pass
compiler,chainedAssignmentChecking.ts,[],go-diff,rust-pass
compiler,checkInheritedProperty.ts,[],go-diff,rust-pass
compiler,checkSuperCallBeforeThisAccessing2.ts,[],go-diff,rust-pass
compiler,checkSuperCallBeforeThisAccessing5.ts,[],go-diff,rust-pass
compiler,checkSuperCallBeforeThisAccessing6.ts,[],go-diff,rust-pass
compiler,checkSuperCallBeforeThisAccessing8.ts,[],go-diff,rust-pass
compiler,circularObjectLiteralAccessors.ts,['target=es5'],go-pass,rust-missing-config
compiler,circularObjectLiteralAccessors.ts,['target=es2015'],go-pass,rust-missing-config
compiler,classCannotExtendVar.ts,[],go-diff,rust-pass
compiler,classExpressionTest1.ts,[],go-diff,rust-pass
compiler,classExpressionTest2.ts,[],go-diff,rust-pass
compiler,classExtendsInterface.ts,[],go-diff,rust-pass
compiler,classExtendsMultipleBaseClasses.ts,[],go-diff,rust-pass
compiler,classFieldSuperAccessible.ts,[],go-pass,rust-diff
compiler,classFunctionMerging.ts,[],go-pass,rust-diff
compiler,classImplementsClass3.ts,[],go-diff,rust-pass
compiler,classIndexer2.ts,[],go-diff,rust-pass
compiler,classIndexer3.ts,[],go-diff,rust-pass
compiler,classIndexer4.ts,[],go-diff,rust-pass
compiler,classMemberInitializerScoping.ts,[],go-diff,rust-pass
compiler,classMemberInitializerWithLamdaScoping.ts,[],go-diff,rust-pass
compiler,classMemberInitializerWithLamdaScoping2.ts,[],go-diff,rust-pass
compiler,classMemberInitializerWithLamdaScoping3.ts,[],go-diff,rust-pass
compiler,classOverloadForFunction.ts,[],go-diff,rust-pass
compiler,classOverloadForFunction2.ts,[],go-diff,rust-pass
compiler,classVarianceResolveCircularity2.ts,[],go-pass,rust-diff
compiler,classWithEmptyTypeParameter.ts,[],go-diff,rust-pass
compiler,classWithOverloadImplementationOfWrongName.ts,[],go-diff,rust-pass
compiler,classWithOverloadImplementationOfWrongName2.ts,[],go-diff,rust-pass
compiler,clinterfaces.ts,[],go-diff,rust-pass
compiler,cloduleGenericOnSelfMember.ts,[],go-diff,rust-pass
compiler,cloduleWithDuplicateMember2.ts,[],go-diff,rust-pass
compiler,cloduleWithPriorInstantiatedModule.ts,[],go-diff,rust-pass
compiler,coAndContraVariantInferences.ts,[],go-pass,rust-diff
compiler,coAndContraVariantInferences7.ts,[],go-pass,rust-diff
compiler,collisionExportsRequireAndAlias.ts,[],go-pass,rust-diff
compiler,commentInMethodCall.ts,[],go-diff,rust-pass
compiler,commentLeadingCloseBrace.ts,[],go-diff,rust-pass
compiler,commentOnArrayElement10.ts,[],go-pass,rust-diff
compiler,commentOnArrayElement11.ts,[],go-pass,rust-diff
compiler,commentOnArrayElement12.ts,[],go-pass,rust-diff
compiler,commentOnArrayElement3.ts,[],go-pass,rust-diff
compiler,commentOnImportStatement1.ts,[],go-diff,rust-pass
compiler,commentOnImportStatement2.ts,[],go-diff,rust-pass
compiler,commentOnImportStatement3.ts,[],go-diff,rust-pass
compiler,commentOnParameter1.ts,[],go-diff,rust-pass
compiler,commentOnParameter2.ts,[],go-diff,rust-pass
compiler,commentOnParameter3.ts,[],go-diff,rust-pass
compiler,commentOnParenthesizedExpressionOpenParen1.ts,[],go-diff,rust-pass
compiler,commentsAfterCaseClauses1.ts,[],go-diff,rust-pass
compiler,commentsAfterCaseClauses2.ts,[],go-diff,rust-pass
compiler,commentsAfterCaseClauses3.ts,[],go-diff,rust-pass
compiler,commentsClassMembers.ts,['target=es2015'],go-diff,rust-pass
compiler,commentsInheritance.ts,['target=es2015'],go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react', 'module=commonjs', 'moduledetection=force']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react', 'module=commonjs', 'moduledetection=legacy']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=preserve', 'module=commonjs', 'moduledetection=legacy']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react-jsxdev', 'module=commonjs', 'moduledetection=auto']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react-jsx', 'module=commonjs', 'moduledetection=force']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react-jsxdev', 'module=commonjs', 'moduledetection=legacy']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=preserve', 'module=commonjs', 'moduledetection=force']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react-jsx', 'module=commonjs', 'moduledetection=legacy']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react', 'module=commonjs', 'moduledetection=auto']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react-jsxdev', 'module=commonjs', 'moduledetection=force']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=react-jsx', 'module=commonjs', 'moduledetection=auto']",go-diff,rust-pass
compiler,commentsOnJSXExpressionsArePreserved.tsx,"['jsx=preserve', 'module=commonjs', 'moduledetection=auto']",go-diff,rust-pass
compiler,commentsOnObjectLiteral1.ts,[],go-diff,rust-pass
compiler,commentsOnObjectLiteral2.ts,[],go-diff,rust-pass
compiler,commentsOnRequireStatement.ts,[],go-pass,rust-missing-config
compiler,commentsTypeParameters.ts,[],go-pass,rust-diff
compiler,commentsVarDecl.ts,['target=es2015'],go-diff,rust-pass
compiler,commonSourceDir2.ts,[],go-pass,rust-diff
compiler,commonSourceDirectory.ts,[],skip-config,rust-pass
compiler,compareTypeParameterConstrainedByLiteralToLiteral.ts,[],go-diff,rust-pass
compiler,complicatedIndexesOfIntersectionsAreInferencable.ts,[],go-pass,rust-diff
compiler,computedPropertiesTransformedInOtherwiseNonTSClasses.ts,[],go-diff,rust-pass
compiler,concatClassAndString.ts,[],go-diff,rust-pass
compiler,concatError.ts,[],go-diff,rust-pass
compiler,conditionalAnyCheckTypePicksBothBranches.ts,[],go-diff,rust-pass
compiler,conditionalDoesntLeakUninstantiatedTypeParameter.ts,[],go-diff,rust-pass
compiler,conditionalExpression1.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine1.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine10.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine2.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine3.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine4.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine5.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine6.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine7.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine8.ts,[],go-diff,rust-pass
compiler,conditionalExpressionNewLine9.ts,[],go-diff,rust-pass
compiler,conditionalTypeClassMembers.ts,[],go-pass,rust-diff
compiler,conditionalTypeRelaxingConstraintAssignability.ts,[],go-pass,rust-diff
compiler,conditionalTypesASI.ts,[],go-pass,rust-diff
compiler,conditionalTypesSimplifyWhenTrivial.ts,[],go-pass,rust-diff
compiler,conditionallyDuplicateOverloadsCausedByOverloadResolution.ts,[],go-diff,rust-pass
compiler,conflictingTypeAnnotatedVar.ts,[],go-diff,rust-pass
compiler,constDeclarationShadowedByVarDeclaration.ts,[],go-diff,rust-pass
compiler,constDeclarations-access.ts,[],go-diff,rust-pass
compiler,constDeclarations-access2.ts,[],go-diff,rust-pass
compiler,constDeclarations-access3.ts,[],go-diff,rust-pass
compiler,constDeclarations-access4.ts,[],go-diff,rust-pass
compiler,constDeclarations-access5.ts,[],go-diff,rust-pass
compiler,constDeclarations-ambient-errors.ts,[],go-diff,rust-pass
compiler,constDeclarations-errors.ts,[],go-diff,rust-pass
compiler,constDeclarations-useBeforeDefinition.ts,[],go-diff,rust-pass
compiler,constEnums.ts,[],go-diff,rust-pass
compiler,constInClassExpression.ts,[],go-diff,rust-pass
compiler,constIndexedAccess.ts,[],go-diff,rust-pass
compiler,constWithNonNull.ts,[],go-diff,rust-pass
compiler,constantEnumAssert.ts,[],go-diff,rust-pass
compiler,constantOverloadFunction.ts,[],go-diff,rust-pass
compiler,constantOverloadFunctionNoSubtypeError.ts,[],go-diff,rust-pass
compiler,constraintErrors1.ts,[],go-diff,rust-pass
compiler,constraintsThatReferenceOtherContstraints1.ts,[],go-diff,rust-pass
compiler,constructorArgWithGenericCallSignature.ts,[],go-diff,rust-pass
compiler,constructorArgsErrors1.ts,[],go-diff,rust-pass
compiler,constructorArgsErrors2.ts,[],go-diff,rust-pass
compiler,constructorArgsErrors3.ts,[],go-diff,rust-pass
compiler,constructorArgsErrors4.ts,[],go-diff,rust-pass
compiler,constructorArgsErrors5.ts,[],go-diff,rust-pass
compiler,constructorInvocationWithTooFewTypeArgs.ts,[],go-diff,rust-pass
compiler,constructorOverloads6.ts,[],go-diff,rust-pass
compiler,constructorOverloads7.ts,[],go-diff,rust-pass
compiler,constructorOverloads8.ts,[],go-diff,rust-pass
compiler,constructorParametersInVariableDeclarations.ts,[],go-diff,rust-pass
compiler,constructorParametersThatShadowExternalNamesInVariableDeclarations.ts,[],go-diff,rust-pass
compiler,constructorStaticParamName.ts,[],go-diff,rust-pass
compiler,constructorStaticParamNameErrors.ts,[],go-diff,rust-pass
compiler,constructorWithParameterPropertiesAndPrivateFields.es2015.ts,[],go-pass,rust-diff
compiler,contextualComputedNonBindablePropertyType.ts,[],go-pass,rust-diff
compiler,contextualExpressionTypecheckingDoesntBlowStack.ts,['target=es2015'],go-pass,rust-diff
compiler,contextualOuterTypeParameters.ts,[],go-pass,rust-diff
compiler,contextualOverloadListFromArrayUnion.ts,[],go-pass,rust-diff
compiler,contextualParamTypeVsNestedReturnTypeInference2.ts,[],go-pass,rust-diff
compiler,contextualParamTypeVsNestedReturnTypeInference3.ts,[],go-pass,rust-diff
compiler,contextualParamTypeVsNestedReturnTypeInference4.ts,[],go-pass,rust-diff
compiler,contextualParameterAndSelfReferentialConstraint1.ts,[],go-pass,rust-diff
compiler,contextualPropertyOfGenericMappedType.ts,[],go-pass,rust-diff
compiler,contextualReturnTypeOfIIFE2.ts,[],go-diff,rust-pass
compiler,contextualReturnTypeOfIIFE3.ts,[],go-pass,rust-diff
compiler,contextualSignatureInArrayElementLibEs2015.ts,[],go-diff,rust-pass
compiler,contextualSignatureInArrayElementLibEs5.ts,[],go-diff,rust-pass
