norm_name,go_func,go_recv,go_file,rust_func,rust_file,rust_impl,match_type,score,aligned,marked_round,note
get_leading_comment_ranges_shebang_skipped,,,,get_leading_comment_ranges_shebang_skipped,tsox-frontend/src/scanner/tests.rs:534,,rust_only,0.0,,,
get_leading_line_terminator_count,getLeadingLineTerminatorCount,Printer,tsc/internal/printer/printer.go:508,,,,go_only,0.0,,,
get_left_most_name,getLeftMostName,,tsc/internal/ls/completions.go:3401,,,,go_only,0.0,,,
get_leftmost_access_expression,GetLeftmostAccessExpression,,tsc/internal/ast/utilities.go:2942,,,,go_only,0.0,,,
get_leftmost_expression,GetLeftmostExpression,,tsc/internal/ast/precedence.go:370,,,,go_only,0.0,,,
get_legacy_decorator_argument_count,getLegacyDecoratorArgumentCount,Checker,tsc/internal/checker/checker.go:9373,,,,go_only,0.0,,,
get_legacy_decorator_call_signature,getLegacyDecoratorCallSignature,Checker,tsc/internal/checker/checker.go:30513,,,,go_only,0.0,,,
get_lib_file_from_reference,GetLibFileFromReference,Program,tsc/internal/compiler/program.go:2089,,,,go_only,0.0,,,
get_lib_file_name,GetLibFileName,,tsc/internal/tsoptions/enummaps.go:132,,,,go_only,0.0,,,
get_lib_references,getLibReferences,DeclarationTransformer,tsc/internal/transformers/declarations/transform.go:519,,,,go_only,0.0,,,
get_library_name_from_lib_file_name,getLibraryNameFromLibFileName,,tsc/internal/compiler/fileloader.go:969,library_name_from_lib_file_name,tsox-compile/src/compiler/lib_replacement.rs:10,,fuzzy,0.939,,,
get_limited_constraint,getLimitedConstraint,Checker,tsc/internal/checker/inference.go:1158,,,,go_only,0.0,,,
get_limited_walk_dir_func,getLimitedWalkDirFunc,,tsc/internal/vfs/osvfs/os.go:127,,,,go_only,0.0,,,
get_line,GetLine,ChangeTrackerWriter,tsc/internal/printer/changetrackerwriter.go:241,,,,go_only,0.0,,,
get_line,GetLine,displayPartsWriter,tsc/internal/ls/displaypartswriter.go:80,,,,go_only,0.0,,,
get_line,GetLine,singleLineStringWriter,tsc/internal/printer/singlelinestringwriter.go:51,,,,go_only,0.0,,,
get_line,GetLine,textWriter,tsc/internal/printer/textwriter.go:53,,,,go_only,0.0,,,
get_line,GetLine,trailingSemicolonDeferringWriter,tsc/internal/printer/semicolon_writer.go:121,,,,go_only,0.0,,,
get_line_and_character,getLineAndCharacter,lineCharacterCache,tsc/internal/printer/utilities.go:913,line_and_character,tsox-frontend/src/diagnosticwriter/mod.rs:9;tsox-lsp/src/fourslash/api.rs:466,,fuzzy,0.9,,,
get_line_and_character_of_position,,,,get_line_and_character_of_position,tsox-frontend/src/ast/utilities_sourcefile.rs:28;tsox-frontend/src/astnav/mod.rs:261,,rust_only,0.0,,,
get_line_content,GetLineContent,scriptInfo,tsc/internal/fourslash/fourslash.go:136,,,,go_only,0.0,,,
get_line_end,,,,get_line_end,tsox-lsp/src/ls/folding.rs:191,LanguageService,rust_only,0.0,,,
get_line_end_of_position,getLineEndOfPosition,,tsc/internal/ls/completions.go:3029,get_line_end_of_position,tsox-lsp/src/ls/utilities.rs:66,,exact,1.0,,,
get_line_of_position,getLineOfPosition,,tsc/internal/ls/completions.go:3024,line_of_position,tsox-frontend/src/format/util.rs:12;tsox-lsp/src/ls/completions_context.rs:169,,fuzzy,0.889,,,
get_line_start_position_for_position,GetLineStartPositionForPosition,,tsc/internal/format/util.go:76,line_start_position_for_position,tsox-frontend/src/format/util.rs:16,,fuzzy,0.941,,,
get_lines_between_nodes,getLinesBetweenNodes,Printer,tsc/internal/printer/printer.go:449,,,,go_only,0.0,,,
get_lines_between_position_and_next_non_whitespace_character,getLinesBetweenPositionAndNextNonWhitespaceCharacter,,tsc/internal/printer/utilities.go:408,,,,go_only,0.0,,,
get_lines_between_position_and_preceding_non_whitespace_character,getLinesBetweenPositionAndPrecedingNonWhitespaceCharacter,,tsc/internal/printer/utilities.go:402,,,,go_only,0.0,,,
get_lines_between_positions,GetLinesBetweenPositions,,tsc/internal/printer/utilities.go:380,,,,go_only,0.0,,,
get_lines_between_range_end_and_range_start,getLinesBetweenRangeEndAndRangeStart,,tsc/internal/printer/utilities.go:397,,,,go_only,0.0,,,
get_list,getList,,tsc/internal/format/indent.go:579,,,,go_only,0.0,,,
get_list_by_position,getListByPosition,,tsc/internal/format/indent.go:525,,,,go_only,0.0,,,
get_list_by_range,getListByRange,,tsc/internal/format/indent.go:532,get_list_by_range,tsox-frontend/src/format/lists.rs:321,,exact,1.0,,,
get_literal_kind_of_binary_plus_operand,getLiteralKindOfBinaryPlusOperand,Printer,tsc/internal/printer/printer.go:2778,,,,go_only,0.0,,,
get_literal_property_name_text,getLiteralPropertyNameText,Checker,tsc/internal/checker/flow.go:1806,,,,go_only,0.0,,,
get_literal_text,getLiteralText,,tsc/internal/printer/utilities.go:227,,,,go_only,0.0,,,
get_literal_text,getLiteralText,inlayHintState,tsc/internal/ls/inlay_hints.go:804,,,,go_only,0.0,,,
get_literal_text_of_node,getLiteralTextOfNode,Printer,tsc/internal/printer/printer.go:196,,,,go_only,0.0,,,
get_literal_type_from_properties,getLiteralTypeFromProperties,Checker,tsc/internal/checker/checker.go:27068,,,,go_only,0.0,,,
get_literal_type_from_property,getLiteralTypeFromProperty,Checker,tsc/internal/checker/checker.go:27097,get_literal_type_from_property,tsox-checker/src/checker/relater_index_signatures_impl_chunk_2.rs:145,Checker,exact,1.0,,,
get_literal_type_from_property_name,getLiteralTypeFromPropertyName,Checker,tsc/internal/checker/checker.go:27120,get_literal_type_from_property_name,tsox-checker/src/checker/services_checker_7.rs:121,Checker,exact,1.0,,,
get_local_jsx_namespace,getLocalJsxNamespace,Checker,tsc/internal/checker/jsx.go:1388,get_local_jsx_namespace,tsox-checker/src/checker/jsx_impl_chunk_2_checker_3.rs:137,Checker,exact,1.0,,,
get_local_module_specifier,getLocalModuleSpecifier,,tsc/internal/modulespecifiers/specifiers.go:490,,,,go_only,0.0,,,
get_local_name,GetLocalName,NodeFactory,tsc/internal/printer/factory.go:524,,,,go_only,0.0,,,
get_local_name_ex,GetLocalNameEx,NodeFactory,tsc/internal/printer/factory.go:531,,,,go_only,0.0,,,
get_local_symbol_for_export_default,GetLocalSymbolForExportDefault,,tsc/internal/binder/nameresolver.go:450,get_local_symbol_for_export_default,tsox-checker/src/binder/nameresolver_get_local_symbol_for_export_default.rs:7,,exact,1.0,,,
get_local_symbol_for_export_specifier,getLocalSymbolForExportSpecifier,,tsc/internal/ls/utilities.go:73,,,,go_only,0.0,,,
get_local_symbol_for_export_specifier,getLocalSymbolForExportSpecifier,Checker,tsc/internal/checker/services.go:624,,,,go_only,0.0,,,
get_local_type_parameters_of_class_or_interface_or_type_alias,getLocalTypeParametersOfClassOrInterfaceOrTypeAlias,Checker,tsc/internal/checker/checker.go:24157,,,,go_only,0.0,,,
